id,firm,street,city,region,zip,country,orderDate,shippingDate,shippingCosts
259,Skilith,91232 Lighthouse Bay Street,München,Bayern,81679,Germany,08-03-2023,16-12-2022,6.02
260,Kwideo,15 Macpherson Parkway,Nürnberg,Bayern,90451,Germany,09-07-2022,05-07-2022,8.33
261,Wordpedia,3 Marcy Road,München,Bayern,81373,Germany,01-01-2023,13-06-2022,6.24
262,Zoomcast,451 Briar Crest Park,Wien,Wien,1200,Austria,09-07-2022,21-04-2022,8.2
263,Skyba,09 Forest Run Road,Würzburg,Bayern,97078,Germany,14-10-2022,26-06-2022,9.74
264,Agivu,93291 Alpine Court,München,Bayern,80804,Germany,17-02-2023,29-03-2023,8.14
265,Ozu,5 Fieldstone Park,München,Bayern,80337,Germany,09-09-2022,07-07-2022,8.81
266,Wikido,64601 Buell Road,Nürnberg,Bayern,90480,Germany,14-04-2022,20-05-2022,5.81
267,Jabbertype,33 Fisk Pass,München,Bayern,80995,Germany,24-01-2023,12-05-2022,9.7
268,Zooxo,6244 Hermina Pass,Würzburg,Bayern,97078,Germany,29-09-2022,26-05-2022,7.68
269,Rhycero,4 Paget Pass,Nürnberg,Bayern,90411,Germany,26-12-2022,13-03-2023,9.35
270,Skipfire,699 Lakewood Court,München,Bayern,81373,Germany,31-03-2023,07-02-2023,9.83
271,Zoomcast,84557 Hagan Point,Zwettl,Niederösterreich,3923,Austria,29-03-2023,22-11-2022,7.73
272,Jayo,1025 Old Shore Hill,München,Bayern,81543,Germany,04-05-2022,18-07-2022,7.35
273,Eayo,265 Dryden Center,Augsburg,Bayern,86156,Germany,23-12-2022,30-05-2022,8.21
274,Thoughtblab,3 Bluejay Place,Wien,Wien,1200,Austria,20-12-2022,16-11-2022,5.18
275,Jabbertype,90 Reindahl Lane,Nürnberg,Bayern,90411,Germany,29-08-2022,10-02-2023,8.98
276,Izio,48 Service Center,St. Anton an der Jeßnitz,Niederösterreich,3282,Austria,17-03-2023,08-01-2023,8.23
277,Yadel,209 Granby Alley,München,Bayern,80804,Germany,20-08-2022,28-09-2022,8.82
278,Vidoo,424 Commercial Street,München,Bayern,80804,Germany,29-07-2022,29-09-2022,8.05
279,Feedmix,4 Eagle Crest Street,Wien,Wien,1200,Austria,05-04-2023,12-03-2023,6.71
280,Bluejam,0 Grover Point,St. Anton an der Jeßnitz,Niederösterreich,3282,Austria,23-05-2022,03-06-2022,8.05
281,Gigabox,01 Atwood Hill,München,Bayern,81543,Germany,18-12-2022,26-05-2022,5.4
282,Oyoba,74 Pennsylvania Trail,München,Bayern,80804,Germany,22-08-2022,12-01-2023,9.38
283,Gigaclub,588 Sheridan Street,Nürnberg,Bayern,90480,Germany,13-07-2022,08-03-2023,7.61
284,Dynava,36738 Mallory Terrace,München,Bayern,81373,Germany,02-02-2023,14-07-2022,9.7
285,Skynoodle,31 Kings Parkway,München,Bayern,81373,Germany,12-12-2022,11-05-2022,8.32
286,Snaptags,8 Macpherson Junction,München,Bayern,80804,Germany,28-09-2022,17-11-2022,5.37
287,Livepath,84617 Myrtle Road,St. Anton an der Jeßnitz,Niederösterreich,3282,Austria,29-06-2022,10-06-2022,8.27
288,Bluezoom,2 Sage Pass,München,Bayern,81543,Germany,29-11-2022,20-02-2023,5.15
289,Flashpoint,746 Browning Pass,München,Bayern,80804,Germany,16-06-2022,23-08-2022,5.87
290,Yakitri,41502 Lukken Junction,Würzburg,Bayern,97078,Germany,09-07-2022,06-02-2023,5.66
291,Voonte,775 Paget Street,München,Bayern,80337,Germany,20-07-2022,31-05-2022,8.33
292,Skippad,12651 Petterle Circle,Augsburg,Bayern,86156,Germany,24-10-2022,15-01-2023,6.78
293,Twinder,39 Scott Point,Nürnberg,Bayern,90480,Germany,14-03-2023,11-01-2023,5.67
294,Jazzy,085 Bobwhite Center,München,Bayern,80804,Germany,13-12-2022,20-05-2022,6.66
295,Flipbug,89341 Browning Point,Würzburg,Bayern,97078,Germany,26-07-2022,28-10-2022,8.4
296,Centidel,60853 Sage Court,München,Bayern,80337,Germany,07-09-2022,28-01-2023,7.7
297,Oyoba,9210 Reindahl Drive,Nürnberg,Bayern,90451,Germany,06-07-2022,24-07-2022,8.49
298,Tagopia,3087 Forster Road,München,Bayern,80995,Germany,05-06-2022,29-12-2022,7.52
299,Twitterbeat,8 Pankratz Hill,Nürnberg,Bayern,90451,Germany,16-02-2023,17-06-2022,7.53
300,Edgeblab,96094 Westridge Pass,München,Bayern,80686,Germany,01-11-2022,19-01-2023,6.21
